爱和谊 ai'he'yi
非专利文献数据库 fei'zhuan'li'wen'xian'shu'ju'ku

非自由兑换证券 fei'zi'you'dui'huan'zheng'quan
非自愿许可 fei'zi'yuan'xu'ke
非自愿许可报酬 fei'zi'yuan'xu'ke'bao'chou
非自愿许可请求费 fei'zi'yuan'xu'ke'qing'qiu'fei
非自愿许可取得人 fei'zi'yuan'xu'ke'qu'de'ren
非自愿许可使用费 fei'zi'yuan'xu'ke'shi'yong'fei

非宗教式宣誓遗 fei'zong'jiao'shi'xuan'shi'yi
非最优报价 fei'zui'you'bao'jia

分案 fen'an
分案超范围 fen'an'chao'fan'wei
分案号 fen'an'hao
分案申请 fen'an'shen'qing
分案申请超范围 fen'an'shen'qing'chao'fan'wei
分案通知书 fen'an'tong'zhi'shu
分案原申请数据 fen'an'yuan'shen'qing'shu'ju
分保 fen'bao
分包合同 fen'bao'he'tong
分包合约 fen'bao'he'yue
分包销 fen'bao'xiao
分包销合约 fen'bao'xiao'he'yue
分包销商 fen'bao'xiao'shang
分包销佣金 fen'bao'xiao'yong'jin
分别是 fen'bie'shi
分布 fen'bu
分部 fen'bu
分部报告 fen'bu'bao'gao
分部成本 fen'bu'cheng'ben
分步成本计算法 fen'bu'cheng'ben'ji'suan'fa
分布分析 fen'bu'fen'xi
分部贡献毛利损益 fen'bu'gong'xian'mao'li'sun'yi
分部间接费用 fen'bu'jian'jie'fei'yong
分部会计 fen'bu'kuai'ji
分部毛利 fen'bu'mao'li
分部门报告 fen'bu'men'bao'gao
分布式电子计算机 fen'bu'shi'dian'zi'ji'suan'ji
分布数词 fen'bu'shu'ci
分部损益表 fen'bu'sun'yi'biao
分部业绩评价 fen'bu'ye'ji'ping'jia
分布主义 fen'bu'zhu'yi
分產人 fen'chan'ren

分成细目 fen'cheng'xi'mu
分出保险人 fen'chu'bao'xian'ren
分出公司 fen'chu'gong'si
分出再保险保费 fen'chu'zai'bao'xian'bao'fei
分出者 fen'chu'zhe
分词 fen'ci
分次出售 fen'ci'chu'shou
分词短语 fen'ci'duan'yu
分次择机 fen'ci'ze'ji
分担人 fen'dan'ren
分担退休金计划 fen'dan'tui'xiu'jin'ji'hua
分店 fen'dian
分店会计 fen'dian'kuai'ji
分店往来账户 fen'dian'wang'lai'zhang'hu
分段音系学 fen'duan'yin'xi'xue
份额 fen'e
分发指令 fen'fa'zhi'ling
纷纷跳水 fen'fen'tiao'shui
分割 fen'ge
分工 fen'gong
分股 fen'gu
分股投资公司 fen'gu'tou'zi'gong'si
分行 fen'hang
分行登记费 fen'hang'deng'ji'fei
分行往來帳 fen'hang'wang'lai'zhang
分号 fen'hao
分红部 fen'hong'bu
分红股 fen'hong'gu
分红计划 fen'hong'ji'hua
分红派息 fen'hong'pai'xi
分红要求 fen'hong'yao'qiu
分红政策 fen'hong'zheng'ce
分户明细账 fen'hu'ming'xi'zhang
分户总账 fen'hu'zong'zhang
分化 fen'hua
分解 fen'jie
分界点 fen'jie'dian
分界法 fen'jie'fa
分界功能 fen'jie'gong'neng
分解价值 fen'jie'jia'zhi
分句 fen'ju
分句连结 fen'ju'lian'jie
分角色读 fen'jue'se'du
分开 fen'kai
芬兰乌戈尔语言学 fen'lan'wu'ge'er'yu'yan'xue
分类 fen'lei
分类比较 fen'lei'bi'jiao
分类表 fen'lei'biao
分类补正通知书 fen'lei'bu'zheng'tong'zhi'shu
分类裁决 fen'lei'cai'jue
分类词典 fen'lei'ci'dian
分类定义 fen'lei'ding'yi
分类法 fen'lei'fa
分类方法 fen'lei'fang'fa
分类股票 fen'lei'gu'piao
分类广告 fen'lei'guang'gao
分类号 fen'lei'hao
分类号变更 fen'lei'hao'bian'geng
分类价格 fen'lei'jia'ge
分类命名 fen'lei'ming'ming
分类明细账 fen'lei'ming'xi'zhang
分类普通股 fen'lei'pu'tong'gu
分类日记帐 fen'lei'ri'ji'zhang
分类日记账 fen'lei'ri'ji'zhang
分类试算表 fen'lei'shi'suan'biao
分类数据 fen'lei'shu'ju
分类位置 fen'lei'wei'zhi
分类位置规则 fen'lei'wei'zhi'gui'ze
分类文摘 fen'lei'wen'zhai
分类细帐 fen'lei'xi'zhang
分类项目 fen'lei'xiang'mu
分类信托 fen'lei'xin'tuo
分类音位学 fen'lei'yin'wei'xue
分类语言学 fen'lei'yu'yan'xue
分类员 fen'lei'yuan
分类帐 fen'lei'zhang
分类账 fen'lei'zhang
分类帐簿 fen'lei'zhang'bu
分类账分析 fen'lei'zhang'fen'xi
分类帐户 fen'lei'zhang'hu
分类账控制 fen'lei'zhang'kong'zhi
分类帐帐户 fen'lei'zhang'zhang'hu
分类账账户 fen'lei'zhang'zhang'hu
分类折旧 fen'lei'zhe'jiu
分类指数 fen'lei'zhi'shu
分类助理 fen'lei'zhu'li
分类资产负债表 fen'lei'zi'chan'fu'zhai'biao
分立持有 fen'li'chi'you
分理处 fen'li'chu
分离代词 fen'li'dai'ci
分离单位 fen'li'dan'wei

分离点 fen'li'dian
分离关系 fen'li'guan'xi
分离前成本 fen'li'qian'cheng'ben
分离式基金 fen'li'shi'ji'jin
分立账户 fen'li'zhang'hu
分裂 fen'lie
分裂不定式 fen'lie'bu'ding'shi
分裂市场 fen'lie'shi'chang
分裂子句 fen'lie'zi'ju
分流富余人员 fen'liu'fu'yu'ren'yuan
分流下岗人员争取再就业 fen'liu'xia'gang'ren'yuan'zheng'qu'zai'jiu'ye
分录 fen'lu
分录凭单 fen'lu'ping'dan
分目 fen'mu
坟墓市场 fen'mu'shi'chang
分派价值 fen'pai'jia'zhi
分派日 fen'pai'ri
分配 fen'pei
分配标准 fen'pei'biao'zhun
分配股利 fen'pei'gu'li
分配款项 fen'pei'kuan'xiang
分批成本计算法 fen'pi'cheng'ben'ji'suan'fa
分批成本计算系统 fen'pi'cheng'ben'ji'suan'xi'tong
分批处理 fen'pi'chu'li
分批数据处理 fen'pi'shu'ju'chu'li
分期拨付开支 fen'qi'bo'fu'kai'zhi
分期偿还 fen'qi'chang'huan
分期偿还贷款 fen'qi'chang'huan'dai'kuan
分期偿还债券 fen'qi'chang'huan'zhai'quan
分期递增 fen'qi'di'zeng
分期付款定金 fen'qi'fu'kuan'ding'jin
分期付款法确认营 fen'qi'fu'kuan'fa'que'ren'ying
分期付款购货 fen'qi'fu'kuan'gou'huo
分期付款购物 fen'qi'fu'kuan'gou'wu
分期付款赊销账户 fen'qi'fu'kuan'she'xiao'zhang'hu
分期付款销货成本 fen'qi'fu'kuan'xiao'huo'cheng'ben
分期付款销货收入 fen'qi'fu'kuan'xiao'huo'shou'ru
分期付款销售 fen'qi'fu'kuan'xiao'shou
分期还本债券 fen'qi'huan'ben'zhai'quan
分期繳付制度 fen'qi'jiao'fu'zhi'du
分期交易 fen'qi'jiao'yi
分倾销性关税 fen'qing'xiao'xing'guan'shui
分区收费 fen'qu'shou'fei
分权 fen'quan
分权共有 fen'quan'gong'you
分权共有财产 fen'quan'gong'you'cai'chan
分权共有权 fen'quan'gong'you'quan
分权共有人 fen'quan'gong'you'ren
分权制会计 fen'quan'zhi'kuai'ji
分散 fen'san

分散化 fen'san'hua
分散经营 fen'san'jing'ying
分散普遍股基金 fen'san'pu'bian'gu'ji'jin
分散权力 fen'san'quan'li
分散投資 fen'san'tou'zi
分散投资 fen'san'tou'zi
粉饰 fen'shi
粉饰交易记录 fen'shi'jiao'yi'ji'lu
分数储备储蓄 fen'shu'chu'bei'chu'xu
分数词 fen'shu'ci
分数股 fen'shu'gu
分数股份 fen'shu'gu'fen
分税制 fen'shui'zhi
分摊 fen'tan
分摊方程式 fen'tan'fang'cheng'shi
分摊率 fen'tan'lv
氛围流行氛围数码 fen'wei'liu'xing'fen'wei'shu'ma
分为三个组成部分 fen'wei'san'ge'zu'cheng'bu'fen
氛围音乐 fen'wei'yin'yue
分析 fen'xi
分析风险 fen'xi'feng'xian
分析和控制 fen'xi'he'kong'zhi
分析模型 fen'xi'mo'xing
分析人员 fen'xi'ren'yuan
分析软件 fen'xi'ruan'jian
分析性检查 fen'xi'xing'jian'cha
分析型语言 fen'xi'xing'yu'yan
分析哲学 fen'xi'zhe'xue
分项扣减额 fen'xiang'kou'jian'e
分销 fen'xiao
分销代理商 fen'xiao'dai'li'shang
分銷公司 fen'xiao'gong'si
分销渠道 fen'xiao'qu'dao
分銷商 fen'xiao'shang
分销商 fen'xiao'shang
分销协议 fen'xiao'xie'yi
分銷業 fen'xiao'ye
分音符 fen'yin'fu
分音符六分音符十二分音符 fen'yin'fu'liu'fen'yin'fu'shi'er'fen'yin'fu
分支程序教学法 fen'zhi'cheng'xu'jiao'xue'fa
分支法 fen'zhi'fa
分支机构财务报表 fen'zhi'ji'gou'cai'wu'bao'biao
分支机构分类账 fen'zhi'ji'gou'fen'lei'zhang
分支机构会计 fen'zhi'ji'gou'kuai'ji
分支机构往来账户 fen'zhi'ji'gou'wang'lai'zhang'hu
分支机构资产负债 fen'zhi'ji'gou'zi'chan'fu'zhai
分众传媒 fen'zhong'chuan'mei
分组合并会计报表 fen'zu'he'bing'kuai'ji'bao'biao
封闭 feng'bi

封闭二合元音 feng'bi'er'he'yuan'yin
封闭过渡语音 feng'bi'guo'du'yu'yin
封闭集合 feng'bi'ji'he
封闭经济 feng'bi'jing'ji
封闭类词 feng'bi'lei'ci
封闭列 feng'bi'lie
封闭期 feng'bi'qi
封闭式 feng'bi'shi
封闭式抵押债券 feng'bi'shi'di'ya'zhai'quan
封闭式公司 feng'bi'shi'gong'si
封闭式共同基金 feng'bi'shi'gong'tong'ji'jin
封闭式管理公司 feng'bi'shi'guan'li'gong'si
封闭式权利要求 feng'bi'shi'quan'li'yao'qiu
封闭式投资公司 feng'bi'shi'tou'zi'gong'si
封闭系统 feng'bi'xi'tong
封闭型控股公司 feng'bi'xing'kong'gu'gong'si
封闭状态 feng'bi'zhuang'tai
丰财务有限公司 feng'cai'wu'you'xian'gong'si
蜂巢止损 feng'chao'zhi'sun
封顶 feng'ding
风帆股份 feng'fan'gu'fen

丰富文化生活 feng'fu'wen'hua'sheng'huo
丰富我们 feng'fu'wo'men
逢高减仓 feng'gao'jian'cang
风格 feng'ge
风格学 feng'ge'xue
丰厚收益 feng'hou'shou'yi
丰华 feng'hua
风华高科 feng'hua'gao'ke
丰华投票 feng'hua'tou'piao
凤凰股份 feng'huang'gu'fen
凤凰光学 feng'huang'guang'xue
烽火通信 feng'huo'tong'xin
疯挤抬价 feng'ji'tai'jia
疯克金属 feng'ke'jin'shu

疯狂追捧 feng'kuang'zhui'peng
丰乐种业 feng'le'zhong'ye
丰年 feng'nian
疯牛 feng'niu
封盘 feng'pan
风神投票 feng'shen'tou'piao
丰授信财务有限公 feng'shou'xin'cai'wu'you'xian'gong
峰属 feng'shu
风头正劲 feng'tou'zheng'jin
奉为 feng'wei
风险报酬 feng'xian'bao'chou
风险暴露 feng'xian'bao'lu
风险保障 feng'xian'bao'zhang
风险成本 feng'xian'cheng'ben
风险承担 feng'xian'cheng'dan
风险创投 feng'xian'chuang'tou
风险放大 feng'xian'fang'da
风险分担 feng'xian'fen'dan
风险分散 feng'xian'fen'san
风险分析 feng'xian'fen'xi
风险管理系统 feng'xian'guan'li'xi'tong
风险管理制度 feng'xian'guan'li'zhi'du
风险规避 feng'xian'gui'bi
风险加大 feng'xian'jia'da
风险加权数 feng'xian'jia'quan'shu
风险监控 feng'xian'jian'kong
风险降低 feng'xian'jiang'di
风险较大 feng'xian'jiao'da
风险较高 feng'xian'jiao'gao
风险教育 feng'xian'jiao'yu
风险警示 feng'xian'jing'shi
风险经营 feng'xian'jing'ying
风险控制机制 feng'xian'kong'zhi'ji'zhi
风险控制系统 feng'xian'kong'zhi'xi'tong
风险收益 feng'xian'shou'yi
风险属性 feng'xian'shu'xing
风险数值模式 feng'xian'shu'zhi'mo'shi
风险套利 feng'xian'tao'li
风险调整 feng'xian'tiao'zheng
风险调整收益率 feng'xian'tiao'zheng'shou'yi'lv
风险调整折现系数 feng'xian'tiao'zheng'zhe'xian'xi'shu
风险投资公司 feng'xian'tou'zi'gong'si
风险投资基金 feng'xian'tou'zi'ji'jin
风险投资商 feng'xian'tou'zi'shang
风险投资市场 feng'xian'tou'zi'shi'chang
风险问题 feng'xian'wen'ti
风险系数 feng'xian'xi'shu
风险厌恶 feng'xian'yan'wu
风险厌恶者 feng'xian'yan'wu'zhe
风险业务管理 feng'xian'ye'wu'guan'li
风险溢酬 feng'xian'yi'chou
风险溢价 feng'xian'yi'jia
风险因素 feng'xian'yin'su
风险与收益 feng'xian'yu'shou'yi
风险状况 feng'xian'zhuang'kuang
风险资本 feng'xian'zi'ben
风险资产 feng'xian'zi'chan
风险资产比率 feng'xian'zi'chan'bi'lv
风险最大 feng'xian'zui'da
风险最小 feng'xian'zui'xiao
风箱式照相机 feng'xiang'shi'zhao'xiang'ji
枫叶系列 feng'ye'xi'lie
丰业银行 feng'ye'yin'hang
冯友兰 feng'you'lan
冯友兰在 feng'you'lan'zai
丰原生化 feng'yuan'sheng'hua
丰原药业 feng'yuan'yao'ye
凤竹纺织 feng'zhu'fang'zhi
封转开 feng'zhuan'kai
佛法 fo'fa
佛教 fo'jiao
佛教传入 fo'jiao'chuan'ru
佛教修行 fo'jiao'xiu'xing
佛教哲学 fo'jiao'zhe'xue
佛里德曼 fo'li'de'man
佛日 fo'ri
佛是 fo'shi
佛塑股份 fo'su'gu'fen
佛天 fo'tian
佛陀 fo'tuo
佛驮 fo'tuo

佛为能化之人 fo'wei'neng'hua'zhi'ren
佛学 fo'xue
佛在经上 fo'zai'jing'shang
佛之定 fo'zhi'ding
佛之功德 fo'zhi'gong'de
佛之一字 fo'zhi'yi'zi
佛之尊贵 fo'zhi'zun'gui
否定 fou'ding
否定词缀 fou'ding'ci'zhui
否定连接词 fou'ding'lian'jie'ci
否定式 fou'ding'shi
否定式权利要求 fou'ding'shi'quan'li'yao'qiu
否定事物 fou'ding'shi'wu
否定式用语 fou'ding'shi'yong'yu
否定小品词 fou'ding'xiao'pin'ci
否定意见 fou'ding'yi'jian
否则是 fou'ze'shi
富邦投票 fu'bang'tou'piao
附保留意见审计报 fu'bao'liu'yi'jian'shen'ji'bao
附保留意见书 fu'bao'liu'yi'jian'shu
副本 fu'ben
副本复制费 fu'ben'fu'zhi'fei
辅币 fu'bi
附表 fu'biao
副部级审查研究员 fu'bu'ji'shen'cha'yan'jiu'yuan
副部级审查员 fu'bu'ji'shen'cha'yuan
副部审 fu'bu'shen
福布斯强 fu'bu'si'qiang
复查 fu'cha
复查核对 fu'cha'he'dui
复查决定 fu'cha'jue'ding
副产品 fu'chan'pin
福成五丰 fu'cheng'wu'feng
副处级 fu'chu'ji
副处级审查副研究员 fu'chu'ji'shen'cha'fu'yan'jiu'yuan
副处级审查员 fu'chu'ji'shen'cha'yuan
副处审 fu'chu'shen
副词 fu'ci
副词化 fu'ci'hua
富达投票 fu'da'tou'piao

附帶開支 fu'dai'kai'zhi
附带利益 fu'dai'li'yi
附带权益 fu'dai'quan'yi
负担 fu'dan
附单 fu'dan
复旦复华 fu'dan'fu'hua
负担利息 fu'dan'li'xi
负担卖空者 fu'dan'mai'kong'zhe
负担能力 fu'dan'neng'li
负担税收 fu'dan'shui'shou
辅导工作 fu'dao'gong'zuo
辅导期 fu'dao'qi
辅导上市 fu'dao'shang'shi

浮动 fu'dong
浮动边界 fu'dong'bian'jie
浮动汇率 fu'dong'hui'lv
浮动汇率制度 fu'dong'hui'lv'zhi'du
浮动货币 fu'dong'huo'bi
浮动亏损 fu'dong'kui'sun
浮动利率 fu'dong'li'lv
浮动利率负债 fu'dong'li'lv'fu'zhai
浮动利率票据 fu'dong'li'lv'piao'ju
浮动利率优先股 fu'dong'li'lv'you'xian'gu
浮动利润 fu'dong'li'run
浮动区间 fu'dong'qu'jian
浮动损失 fu'dong'sun'shi
浮动押记 fu'dong'ya'ji
浮动债务 fu'dong'zhai'wu
幅度 fu'du
幅度大 fu'du'da
夫妇分别评税 fu'fu'fen'bie'ping'shui
复辅音 fu'fu'yin
福冈城市银行 fu'gang'cheng'shi'yin'hang
负杠杆作用 fu'gang'gan'zuo'yong
付高价 fu'gao'jia

复归产业权 fu'gui'chan'ye'quan
复归权益 fu'gui'quan'yi
富国货 fu'guo'huo
富国基金 fu'guo'ji'jin
富国平衡 fu'guo'ping'heng
富国天博创新主题股票型证券投资基金 fu'guo'tian'bo'chuang'xin'zhu'ti'gu'piao'xing'zheng'quan'tou'zi'ji'jin
富国天合稳健优选股票型证券投资基金 fu'guo'tian'he'wen'jian'you'xuan'gu'piao'xing'zheng'quan'tou'zi'ji'jin
富国天惠精选成长混合型证券投资基金 fu'guo'tian'hui'jing'xuan'cheng'zhang'hun'he'xing'zheng'quan'tou'zi'ji'jin
富国天利增长债券投资基金 fu'guo'tian'li'zeng'zhang'zhai'quan'tou'zi'ji'jin
富国天瑞强势地区精选混合型证券投资基金 fu'guo'tian'rui'qiang'shi'di'qu'jing'xuan'hun'he'xing'zheng'quan'tou'zi'ji'jin
富国天时 fu'guo'tian'shi
富国天时货币市场基金 fu'guo'tian'shi'huo'bi'shi'chang'ji'jin
富国天益价值证券投资基金 fu'guo'tian'yi'jia'zhi'zheng'quan'tou'zi'ji'jin
富国天源平衡混合型证券投资基金 fu'guo'tian'yuan'ping'heng'hun'he'xing'zheng'quan'tou'zi'ji'jin
符号 fu'hao
符号关系学 fu'hao'guan'xi'xue
符号系统 fu'hao'xi'tong
符号学 fu'hao'xue
符号语言学 fu'hao'yu'yan'xue
复合 fu'he
复核 fu'he
复合词 fu'he'ci

复合动词 fu'he'dong'ci
复合分录 fu'he'fen'lu
复合构词法 fu'he'gou'ci'fa


符合规章抽查 fu'he'gui'zhang'chou'cha
符合规章审计 fu'he'gui'zhang'shen'ji

复合句 fu'he'ju
复合名词 fu'he'ming'ci
复合名词性词 fu'he'ming'ci'xing'ci
复合人称代词 fu'he'ren'cheng'dai'ci
复合塞音 fu'he'se'yin
复合时 fu'he'shi
复合套利 fu'he'tao'li
复合谓语 fu'he'wei'yu
符合性抽查 fu'he'xing'chou'cha
符合要求而索价最 fu'he'yao'qiu'er'suo'jia'zui
复核意见 fu'he'yi'jian
复合音节峰 fu'he'yin'jie'feng
复合音节核心 fu'he'yin'jie'he'xin
复合音素 fu'he'yin'su
复合元音 fu'he'yuan'yin
复合增加率 fu'he'zeng'jia'lv
复合增长率 fu'he'zeng'zhang'lv
复合主语 fu'he'zhu'yu
复合转义 fu'he'zhuan'yi
复合字素 fu'he'zi'su
孵化器 fu'hua'qi
复活 fu'huo
付货人 fu'huo'ren
付貨通知書 fu'huo'tong'zhi'shu
复活形式 fu'huo'xing'shi
附加 fu'jia
附加部分 fu'jia'bu'fen
附加初步审查费 fu'jia'chu'bu'shen'cha'fei
附加初审费 fu'jia'chu'shen'fei
附加从句 fu'jia'cong'ju

附加地方税 fu'jia'di'fang'shui
附加费 fu'jia'fei
附加费用 fu'jia'fei'yong
附加符号 fu'jia'fu'hao
附加福利 fu'jia'fu'li
附加工资 fu'jia'gong'zi
附加合约 fu'jia'he'yue
附加技术特征 fu'jia'ji'shu'te'zheng
附加检索费 fu'jia'jian'suo'fei
附加利息 fu'jia'li'xi
附加旁证 fu'jia'pang'zheng
附加实缴资本 fu'jia'shi'jiao'zi'ben
附加税 fu'jia'shui
附加条件 fu'jia'tiao'jian
附加条件承兑 fu'jia'tiao'jian'cheng'dui
附加协议 fu'jia'xie'yi
附加信息 fu'jia'xin'xi
附加行政费用 fu'jia'xing'zheng'fei'yong
附加疑问句 fu'jia'yi'wen'ju
附加印花税 fu'jia'yin'hua'shui
附加账户 fu'jia'zhang'hu
附加折旧 fu'jia'zhe'jiu
附加证据 fu'jia'zheng'ju
附加值产品 fu'jia'zhi'chan'pin
附加资本 fu'jia'zi'ben
附件 fu'jian
福建高速 fu'jian'gao'su
福建南纺 fu'jian'nan'fang
福建南纸 fu'jian'nan'zhi
附件清单 fu'jian'qing'dan
福建水泥 fu'jian'shui'ni
福建亚洲银行 fu'jian'ya'zhou'yin'hang
复句 fu'ju
附具 fu'ju
副科级 fu'ke'ji
副科级审查员 fu'ke'ji'shen'cha'yuan
副科级审查助理研究员 fu'ke'ji'shen'cha'zhu'li'yan'jiu'yuan
副科审 fu'ke'shen
腹空 fu'kong
付款 fu'kuan
付款办法 fu'kuan'ban'fa
付款保障 fu'kuan'bao'zhang
付款保证书 fu'kuan'bao'zheng'shu
付款承诺 fu'kuan'cheng'nuo
付款程序 fu'kuan'cheng'xu
付款到期日 fu'kuan'dao'qi'ri
付款方式 fu'kuan'fang'shi
付款跟 fu'kuan'gen
付款交货 fu'kuan'jiao'huo
付款卡 fu'kuan'ka
付款凭单 fu'kuan'ping'dan
付款凭单登记簿 fu'kuan'ping'dan'deng'ji'bu
付款凭单审计 fu'kuan'ping'dan'shen'ji
付款凭单制度 fu'kuan'ping'dan'zhi'du
付款凭证 fu'kuan'ping'zheng
付款期限 fu'kuan'qi'xian
付款企业 fu'kuan'qi'ye
付款区 fu'kuan'qu
付款人 fu'kuan'ren
付款日期 fu'kuan'ri'qi
付款收据 fu'kuan'shou'ju
付款条件 fu'kuan'tiao'jian
付款通知 fu'kuan'tong'zhi
付款通知书 fu'kuan'tong'zhi'shu
付款項目 fu'kuan'xiang'mu
付款银行 fu'kuan'yin'hang
付款銀行 fu'kuan'yin'xing
付款证据 fu'kuan'zheng'ju
付款指令票据 fu'kuan'zhi'ling'piao'ju
付款周期 fu'kuan'zhou'qi
富兰克林国海潜力组合股票型证券投资基金 fu'lan'ke'lin'guo'hai'qian'li'zu'he'gu'piao'xing'zheng'quan'tou'zi'ji'jin
富兰克林国海弹性市值股票型证券投资基金 fu'lan'ke'lin'guo'hai'tan'xing'shi'zhi'gu'piao'xing'zheng'quan'tou'zi'ji'jin
富兰克林国海中国收益证券投资基金 fu'lan'ke'lin'guo'hai'zhong'guo'shou'yi'zheng'quan'tou'zi'ji'jin
复利 fu'li
福利 fu'li
福利彩票 fu'li'cai'piao
弗里德曼理论 fu'li'de'man'li'lun
福利费用支出 fu'li'fei'yong'zhi'chu
福利计划 fu'li'ji'hua
福利基金 fu'li'ji'jin
福利金 fu'li'jin
复利帖现息 fu'li'tie'xian'xi
负利息 fu'li'xi
福利性支出 fu'li'xing'zhi'chu
傅里叶分析 fu'li'ye'fen'xi
复利债券 fu'li'zhai'quan
复利折旧 fu'li'zhe'jiu
复利折旧法 fu'li'zhe'jiu'fa
复利值 fu'li'zhi
辅料 fu'liao
涪陵电力 fu'ling'dian'li
弗洛伊德 fu'luo'yi'de
福马投票 fu'ma'tou'piao
父名 fu'ming
弗纳定律 fu'na'ding'lv
负片 fu'pian
扶贫 fu'pin
抚贫计划 fu'pin'ji'hua
付钱 fu'qian
复切分特征 fu'qie'fen'te'zheng
父亲是 fu'qin'shi
父亲在 fu'qin'zai
付清 fu'qing

复权 fu'quan
附权 fu'quan
附权发行 fu'quan'fa'xing
附权利股票 fu'quan'li'gu'piao
附权证券 fu'quan'zheng'quan
辅仁 fu'ren
附认购新股权 fu'ren'gou'xin'gu'quan
孚日股份 fu'ri'gu'fen
福日股份 fu'ri'gu'fen
负商誉 fu'shang'yu
复审 fu'shen
复审案件 fu'shen'an'jian
复审案件结案通知书 fu'shen'an'jian'jie'an'tong'zhi'shu
复审程序 fu'shen'cheng'xu
复审程序文件收发文目录 fu'shen'cheng'xu'wen'jian'shou'fa'wen'mu'lu
复审程序终止 fu'shen'cheng'xu'zhong'zhi
复审费 fu'shen'fei
复审合议组 fu'shen'he'yi'zu
复审结案通知书 fu'shen'jie'an'tong'zhi'shu
复审决定 fu'shen'jue'ding
复审决定书 fu'shen'jue'ding'shu
复审请求 fu'shen'qing'qiu
复审请求案件 fu'shen'qing'qiu'an'jian
复审请求不予受理 fu'shen'qing'qiu'bu'yu'shou'li
复审请求不予受理通知书 fu'shen'qing'qiu'bu'yu'shou'li'tong'zhi'shu
复审请求补正通知书 fu'shen'qing'qiu'bu'zheng'tong'zhi'shu
复审请求第二次补正通知书 fu'shen'qing'qiu'di'er'ci'bu'zheng'tong'zhi'shu
复审请求费 fu'shen'qing'qiu'fei
复审请求客体 fu'shen'qing'qiu'ke'ti
复审请求口头审理 fu'shen'qing'qiu'kou'tou'shen'li
复审请求口头审理通知书 fu'shen'qing'qiu'kou'tou'shen'li'tong'zhi'shu
复审请求期限 fu'shen'qing'qiu'qi'xian
复审请求人 fu'shen'qing'qiu'ren
复审请求审查 fu'shen'qing'qiu'shen'cha
复审请求审查决定 fu'shen'qing'qiu'shen'cha'jue'ding
复审请求视为未提出 fu'shen'qing'qiu'shi'wei'wei'ti'chu
复审请求视为未提出通知书 fu'shen'qing'qiu'shi'wei'wei'ti'chu'tong'zhi'shu
复审请求受理通知书 fu'shen'qing'qiu'shou'li'tong'zhi'shu
复审请求书 fu'shen'qing'qiu'shu
复审请求中止审批通知书 fu'shen'qing'qiu'zhong'zhi'shen'pi'tong'zhi'shu
复审通知书 fu'shen'tong'zhi'shu
复审委 fu'shen'wei
复审委员 fu'shen'wei'yuan
复审委员会 fu'shen'wei'yuan'hui
复审无效程序 fu'shen'wu'xiao'cheng'xu
复审员 fu'shen'yuan
复式簿记 fu'shi'bu'ji
複式簿記制度 fu'shi'bu'ji'zhi'du
复式计帐 fu'shi'ji'zhang
复式期权 fu'shi'qi'quan
俯视图 fu'shi'tu
富士银行 fu'shi'yin'hang
复式预算 fu'shi'yu'suan
负收益 fu'shou'yi
复数 fu'shu
复数成分 fu'shu'cheng'fen
附属贷款 fu'shu'dai'kuan

附属抵押品 fu'shu'di'ya'pin
附属风险 fu'shu'feng'xian
附属公司 fu'shu'gong'si
附属会员 fu'shu'hui'yuan
附属机构 fu'shu'ji'gou
副署签名 fu'shu'qian'ming
附属融资公司 fu'shu'rong'zi'gong'si
附属业务 fu'shu'ye'wu
附属音变 fu'shu'yin'bian
附属营业 fu'shu'ying'ye
附属专利 fu'shu'zhuan'li
赋税减免 fu'shui'jian'mian
抚顺特钢 fu'shun'te'gang
弗斯语言学 fu'si'yu'yan'xue
附送 fu'song
复苏 fu'su
符素 fu'su
复苏经济 fu'su'jing'ji
复苏政策 fu'su'zheng'ce
福特赛 fu'te'sai
福田汽车 fu'tian'qi'che
福田投票 fu'tian'tou'piao
附条件 fu'tiao'jian
附条件背书 fu'tiao'jian'bei'shu
附条件承兑 fu'tiao'jian'cheng'dui
附条件销售协议 fu'tiao'jian'xiao'shou'xie'yi
附条件债券 fu'tiao'jian'zhai'quan
复贴现 fu'tie'xian
富通银行 fu'tong'yin'hang
浮头 fu'tou
负投资 fu'tou'zi
浮图 fu'tu
浮屠 fu'tu
附图标记 fu'tu'biao'ji
附图副本 fu'tu'fu'ben
浮屠或浮图 fu'tu'huo'fu'tu
附图数 fu'tu'shu
附图说明 fu'tu'shuo'ming
浮陀 fu'tuo
富托克字母 fu'tuo'ke'zi'mu
服务 fu'wu
服务部门 fu'wu'bu'men
服务出口地 fu'wu'chu'kou'di
服务代理机构 fu'wu'dai'li'ji'gou
服务公司 fu'wu'gong'si
服务合同 fu'wu'he'tong
服务合约 fu'wu'he'yue
服务潜力 fu'wu'qian'li
服务网络 fu'wu'wang'luo
服务协议 fu'wu'xie'yi
服务性行业 fu'wu'xing'hang'ye
服务营销 fu'wu'ying'xiao
服务指数 fu'wu'zhi'shu
服务中心 fu'wu'zhong'xin
附息 fu'xi
浮息票据 fu'xi'piao'ju
附息票据 fu'xi'piao'ju
付息日 fu'xi'ri
浮息投资 fu'xi'tou'zi
附息投资项目 fu'xi'tou'zi'xiang'mu
浮息债券 fu'xi'zhai'quan
附息债券 fu'xi'zhai'quan
浮息证券 fu'xi'zheng'quan
